Label,Message
ham,Oh you got many responsibilities.
ham,You call him now ok i said call him
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham,Speaking of does he have any cash yet?
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
spam,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,"Yo, you at jp and hungry like a mofo?"
ham,I just cooked a rather nice salmon a la you
ham,Just sleeping..and surfing
ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
ham,Maybe i could get book out tomo then return it immediately ..? Or something.
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
ham,"Hey elaine, is today's meeting still on?"
ham,It shall be fine. I have avalarr now. Will hollalater
ham,I am in a marriage function
ham,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
ham,Are you going to wipro interview today?
ham,Onum ela pa. Normal than.
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
ham,Take us out shopping and Mark will distract Isaiah.=D
ham,I think it's all still in my car
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
ham,I want  &lt;#&gt;  rs da:)do you have it?
ham,You see the requirements please
ham,Both :) i shoot big loads so get ready!
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
ham,"K, I might come by tonight then if my class lets out early"
ham,Guess he wants alone time. We could just show up and watch when they do..
ham,Stupid.its not possible
ham,I'm at work. Please call
ham,The evo. I just had to download flash. Jealous?
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... 
ham,Pls speak with me. I wont ask anything other then you friendship.
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,Wife.how she knew the time of murder exactly
ham,"K I'm leaving soon, be there a little after 9"
ham,Home so we can always chat
ham,"Yup, leaving right now, be back soon"
ham,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
ham,U guys never invite me anywhere :(
